FIPS,POPULATION,HOUSEHOLDS,RENTER_OCC,SQMI,renterRate,popDensity
060378004063,637.000000,226.000000,79.000000,3.950000,0.349558,161.265823
060378004062,488.000000,203.000000,31.000000,0.680000,0.152709,717.647059
060378004061,1662.000000,490.000000,111.000000,30.590000,0.226531,54.331481
060378003263,2190.000000,710.000000,37.000000,5.420000,0.052113,404.059041
060376706023,2940.000000,889.000000,80.000000,2.730000,0.089989,1076.923077
060376706021,2779.000000,1044.000000,76.000000,1.280000,0.072797,2171.093750
060376703283,2613.000000,925.000000,107.000000,0.700000,0.115676,3732.857143
060376704061,1832.000000,686.000000,63.000000,0.460000,0.091837,3982.608696
060376703282,1174.000000,417.000000,27.000000,0.440000,0.064748,2668.181818
060376704162,2372.000000,904.000000,368.000000,0.740000,0.407080,3205.405405
060376704051,2828.000000,1126.000000,292.000000,0.580000,0.259325,4875.862069
060376706022,2048.000000,875.000000,342.000000,1.490000,0.390857,1374.496644
060376704073,1896.000000,543.000000,75.000000,0.260000,0.138122,7292.307692
060376705001,1935.000000,663.000000,28.000000,2.980000,0.042232,649.328859
060376704132,2722.000000,1030.000000,227.000000,0.480000,0.220388,5670.833333
060376704161,1840.000000,645.000000,51.000000,0.630000,0.079070,2920.634921
060372976011,883.000000,440.000000,321.000000,0.080000,0.729545,11037.500000
060372973003,750.000000,287.000000,58.000000,0.080000,0.202091,9375.000000
060372969011,2005.000000,694.000000,585.000000,0.070000,0.842939,28642.857143
060372972022,1364.000000,555.000000,349.000000,0.100000,0.628829,13640.000000
060372964022,821.000000,276.000000,112.000000,0.170000,0.405797,4829.411765
060376099001,1155.000000,384.000000,229.000000,0.070000,0.596354,16500.000000
060372971101,2571.000000,811.000000,718.000000,0.110000,0.885327,23372.727273
060379800311,1497.000000,173.000000,38.000000,5.100000,0.219653,293.529412
060376707022,1107.000000,403.000000,26.000000,0.410000,0.064516,2700.000000
060372971201,1908.000000,530.000000,416.000000,0.080000,0.784906,23850.000000
060376707013,1412.000000,451.000000,53.000000,0.210000,0.117517,6723.809524
060372965003,1018.000000,300.000000,131.000000,0.120000,0.436667,8483.333333
060372962102,791.000000,306.000000,268.000000,0.060000,0.875817,13183.333333
060372975004,1106.000000,414.000000,54.000000,0.150000,0.130435,7373.333333
060372948302,1203.000000,355.000000,240.000000,0.220000,0.676056,5468.181818
060376707021,1924.000000,660.000000,45.000000,0.900000,0.068182,2137.777778
060376707024,1465.000000,540.000000,31.000000,0.760000,0.057407,1927.631579
060372962101,866.000000,225.000000,157.000000,0.100000,0.697778,8660.000000
060372951032,1856.000000,599.000000,53.000000,0.620000,0.088481,2993.548387
060372976023,1228.000000,557.000000,270.000000,0.080000,0.484740,15350.000000
060372964023,1178.000000,401.000000,126.000000,0.120000,0.314214,9816.666667
060372975003,1113.000000,415.000000,300.000000,0.050000,0.722892,22260.000000
060372976013,1102.000000,320.000000,313.000000,0.170000,0.978125,6482.352941
060376707014,1047.000000,370.000000,45.000000,0.150000,0.121622,6980.000000
060372963002,2620.000000,1302.000000,415.000000,0.180000,0.318740,14555.555556
060372972021,1504.000000,595.000000,363.000000,0.100000,0.610084,15040.000000
060372962201,927.000000,243.000000,215.000000,0.030000,0.884774,30900.000000
060372970004,1476.000000,615.000000,300.000000,0.120000,0.487805,12300.000000
060372972011,2339.000000,787.000000,582.000000,0.100000,0.739517,23390.000000
060372966002,1597.000000,509.000000,470.000000,0.080000,0.923379,19962.500000
060376707012,1931.000000,715.000000,73.000000,0.280000,0.102098,6896.428571
060372969022,1933.000000,845.000000,664.000000,0.080000,0.785799,24162.500000
060372966003,1016.000000,346.000000,253.000000,0.080000,0.731214,12700.000000
060372976012,752.000000,405.000000,339.000000,0.040000,0.837037,18800.000000
060372964012,986.000000,402.000000,131.000000,0.120000,0.325871,8216.666667
060372951031,3344.000000,1429.000000,396.000000,0.190000,0.277117,17600.000000
060372969013,577.000000,224.000000,141.000000,0.100000,0.629464,5770.000000
060372973001,1102.000000,412.000000,269.000000,0.120000,0.652913,9183.333333
060372974002,2261.000000,1000.000000,156.000000,0.450000,0.156000,5024.444444
060372965001,1353.000000,406.000000,241.000000,0.120000,0.593596,11275.000000
060376707011,2732.000000,953.000000,218.000000,0.520000,0.228751,5253.846154
060376707023,1129.000000,417.000000,32.000000,0.530000,0.076739,2130.188679
060372972012,1346.000000,532.000000,352.000000,0.060000,0.661654,22433.333333
060372969021,1381.000000,472.000000,397.000000,0.070000,0.841102,19728.571429
060372976022,1345.000000,665.000000,414.000000,0.110000,0.622556,12227.272727
060372962103,1735.000000,365.000000,261.000000,0.050000,0.715068,34700.000000
060372963001,1807.000000,465.000000,233.000000,0.220000,0.501075,8213.636364
060372962202,2270.000000,745.000000,718.000000,0.070000,0.963758,32428.571429
060372948301,2710.000000,606.000000,496.000000,0.120000,0.818482,22583.333333
060372971202,1633.000000,564.000000,429.000000,0.090000,0.760638,18144.444444
060372949001,2402.000000,423.000000,318.000000,0.160000,0.751773,15012.500000
060372970002,748.000000,274.000000,82.000000,0.110000,0.299270,6800.000000
060372974003,711.000000,278.000000,25.000000,0.240000,0.089928,2962.500000
060372969023,599.000000,265.000000,180.000000,0.040000,0.679245,14975.000000
060372965002,1677.000000,539.000000,346.000000,0.110000,0.641929,15245.454545
060372970003,1396.000000,635.000000,474.000000,0.070000,0.746457,19942.857143
060372975001,1551.000000,678.000000,391.000000,0.320000,0.576696,4846.875000
060372975002,654.000000,239.000000,38.000000,0.140000,0.158996,4671.428571
060372969012,1722.000000,581.000000,476.000000,0.070000,0.819277,24600.000000
060372974001,784.000000,300.000000,31.000000,0.120000,0.103333,6533.333333
060372970001,1063.000000,408.000000,47.000000,0.150000,0.115196,7086.666667
060372970005,929.000000,367.000000,89.000000,0.110000,0.242507,8445.454545
060372973002,578.000000,144.000000,140.000000,0.270000,0.972222,2140.740741
060372964011,2275.000000,936.000000,182.000000,0.270000,0.194444,8425.925926
060372966004,1481.000000,546.000000,395.000000,0.090000,0.723443,16455.555556
060372966001,1416.000000,385.000000,247.000000,0.080000,0.641558,17700.000000
060372975005,941.000000,334.000000,35.000000,0.110000,0.104790,8554.545455
060372971102,2452.000000,742.000000,600.000000,0.080000,0.808625,30650.000000
060372972023,739.000000,234.000000,162.000000,0.030000,0.692308,24633.333333
060372976021,917.000000,442.000000,320.000000,0.050000,0.723982,18340.000000
060372962203,1596.000000,637.000000,517.000000,0.110000,0.811617,14509.090909
060376099002,1007.000000,242.000000,88.000000,0.130000,0.363636,7746.153846
060372964021,1255.000000,430.000000,68.000000,0.130000,0.158140,9653.846154
060375765021,2730.000000,1006.000000,770.000000,0.060000,0.765408,45500.000000
060375766021,1420.000000,908.000000,578.000000,0.080000,0.636564,17750.000000
060375766011,2575.000000,1509.000000,1041.000000,0.120000,0.689861,21458.333333
060379800331,63.000000,7.000000,7.000000,4.740000,1.000000,13.291139
060375768011,1170.000000,511.000000,435.000000,0.060000,0.851272,19500.000000
060375759023,1883.000000,773.000000,607.000000,0.040000,0.785252,47075.000000
060375760013,758.000000,461.000000,316.000000,0.030000,0.685466,25266.666667
060375759013,723.000000,259.000000,115.000000,0.020000,0.444015,36150.000000
060375765012,1511.000000,785.000000,605.000000,0.050000,0.770701,30220.000000
060375766023,830.000000,494.000000,368.000000,0.040000,0.744939,20750.000000
060375768013,2516.000000,1039.000000,857.000000,0.070000,0.824832,35942.857143
060375760011,1826.000000,1097.000000,511.000000,0.210000,0.465816,8695.238095
060375762004,1056.000000,457.000000,424.000000,0.020000,0.927790,52800.000000
060375767003,1997.000000,1004.000000,743.000000,0.080000,0.740040,24962.500000
060375765011,1836.000000,664.000000,630.000000,0.070000,0.948795,26228.571429
060375759011,1265.000000,441.000000,290.000000,0.030000,0.657596,42166.666667
060375765031,2746.000000,926.000000,828.000000,0.060000,0.894168,45766.666667
060375765022,1129.000000,481.000000,414.000000,0.040000,0.860707,28225.000000
060375766013,1169.000000,686.000000,576.000000,0.030000,0.839650,38966.666667
060375759022,1591.000000,752.000000,625.000000,0.030000,0.831117,53033.333333
060375765032,1718.000000,903.000000,759.000000,0.060000,0.840532,28633.333333
060375762002,1383.000000,555.000000,490.000000,0.040000,0.882883,34575.000000
060375762001,1403.000000,502.000000,469.000000,0.050000,0.934263,28060.000000
060375765023,812.000000,501.000000,388.000000,0.020000,0.774451,40600.000000
060375762005,1450.000000,683.000000,644.000000,0.130000,0.942899,11153.846154
060375766012,934.000000,504.000000,441.000000,0.030000,0.875000,31133.333333
060375768012,885.000000,507.000000,315.000000,0.060000,0.621302,14750.000000
060375766024,950.000000,591.000000,472.000000,0.030000,0.798646,31666.666667
060375759014,747.000000,276.000000,139.000000,0.100000,0.503623,7470.000000
060375759012,792.000000,345.000000,261.000000,0.030000,0.756522,26400.000000
060375766022,939.000000,542.000000,463.000000,0.030000,0.854244,31300.000000
060375762003,1243.000000,559.000000,498.000000,0.030000,0.890877,41433.333333
060375759021,2176.000000,1057.000000,897.000000,0.060000,0.848628,36266.666667
060375760012,2754.000000,1452.000000,1018.000000,0.510000,0.701102,5400.000000
060375774002,609.000000,307.000000,171.000000,0.060000,0.557003,10150.000000
060375768022,1948.000000,975.000000,753.000000,0.090000,0.772308,21644.444444
060375773001,838.000000,529.000000,463.000000,0.160000,0.875236,5237.500000
060375773006,693.000000,425.000000,329.000000,0.030000,0.774118,23100.000000
060375767001,1481.000000,772.000000,524.000000,0.100000,0.678756,14810.000000
060375775011,1313.000000,636.000000,306.000000,0.140000,0.481132,9378.571429
060375771004,1607.000000,815.000000,563.000000,0.090000,0.690798,17855.555556
060375771002,1215.000000,587.000000,341.000000,0.090000,0.580920,13500.000000
060375773002,1288.000000,695.000000,556.000000,0.050000,0.800000,25760.000000
060375776021,1810.000000,1015.000000,549.000000,0.230000,0.540887,7869.565217
060375772001,1239.000000,609.000000,413.000000,0.080000,0.678161,15487.500000
060375776035,1227.000000,530.000000,134.000000,0.180000,0.252830,6816.666667
060375776031,1961.000000,881.000000,223.000000,0.190000,0.253121,10321.052632
060375774003,1025.000000,568.000000,427.000000,0.060000,0.751761,17083.333333
060375776033,1542.000000,662.000000,244.000000,0.170000,0.368580,9070.588235
060379800071,0.000000,0.000000,0.000000,1.020000,,0.000000
060375775013,1096.000000,512.000000,116.000000,0.100000,0.226562,10960.000000
060375773003,874.000000,517.000000,454.000000,0.040000,0.878143,21850.000000
060375773005,1029.000000,516.000000,280.000000,0.060000,0.542636,17150.000000
060375776041,1387.000000,814.000000,166.000000,0.420000,0.203931,3302.380952
060375775042,785.000000,417.000000,236.000000,0.040000,0.565947,19625.000000
060375772003,1167.000000,725.000000,585.000000,0.070000,0.806897,16671.428571
060375774001,756.000000,345.000000,144.000000,0.070000,0.417391,10800.000000
060375772002,1151.000000,658.000000,490.000000,0.140000,0.744681,8221.428571
060375774004,1013.000000,522.000000,341.000000,0.060000,0.653257,16883.333333
060375776022,1681.000000,754.000000,38.000000,0.320000,0.050398,5253.125000
060375767002,746.000000,406.000000,208.000000,0.120000,0.512315,6216.666667
060375775012,1156.000000,546.000000,146.000000,0.080000,0.267399,14450.000000
060375771003,987.000000,464.000000,237.000000,0.090000,0.510776,10966.666667
060375776034,2038.000000,917.000000,520.000000,0.280000,0.567067,7278.571429
060375773004,1165.000000,591.000000,389.000000,0.070000,0.658206,16642.857143
060375775041,718.000000,403.000000,246.000000,0.140000,0.610422,5128.571429
060375772004,2223.000000,1177.000000,949.000000,0.100000,0.806287,22230.000000
060375776032,1756.000000,755.000000,43.000000,0.250000,0.056954,7024.000000
060375771001,1571.000000,677.000000,475.000000,0.090000,0.701625,17455.555556
060375768021,2028.000000,922.000000,757.000000,0.090000,0.821041,22533.333333
060375771005,1578.000000,789.000000,584.000000,0.090000,0.740177,17533.333333
060378004101,3787.000000,626.000000,139.000000,14.400000,0.222045,262.986111
060378004083,1860.000000,695.000000,253.000000,1.680000,0.364029,1107.142857
060378005041,2677.000000,1111.000000,408.000000,8.250000,0.367237,324.484848
060378004081,975.000000,387.000000,108.000000,1.060000,0.279070,919.811321
060378004082,2969.000000,1178.000000,291.000000,1.680000,0.247029,1767.261905
060378004084,1664.000000,563.000000,97.000000,1.790000,0.172291,929.608939
060378003261,1942.000000,790.000000,278.000000,4.370000,0.351899,444.393593
060378003262,1040.000000,466.000000,71.000000,6.560000,0.152361,158.536585
060378003301,998.000000,355.000000,53.000000,10.990000,0.149296,90.809827
060378003243,1513.000000,515.000000,39.000000,0.250000,0.075728,6052.000000
060378003324,1287.000000,469.000000,45.000000,0.310000,0.095949,4151.612903
060378003244,2379.000000,820.000000,105.000000,0.340000,0.128049,6997.058824
060378003323,709.000000,227.000000,37.000000,0.300000,0.162996,2363.333333
060378003311,763.000000,230.000000,49.000000,0.770000,0.213043,990.909091
060378003325,1236.000000,376.000000,8.000000,0.520000,0.021277,2376.923077
060378003251,1839.000000,710.000000,143.000000,0.460000,0.201408,3997.826087
060378003322,1178.000000,380.000000,32.000000,0.200000,0.084211,5890.000000
060378003241,990.000000,345.000000,34.000000,0.270000,0.098551,3666.666667
060378003252,1600.000000,761.000000,119.000000,0.440000,0.156373,3636.363636
060378003326,1169.000000,368.000000,8.000000,0.400000,0.021739,2922.500000
060378003242,1857.000000,695.000000,150.000000,0.530000,0.215827,3503.773585
060378002032,3959.000000,1308.000000,425.000000,1.560000,0.324924,2537.820513
060378003293,2672.000000,1039.000000,442.000000,0.550000,0.425409,4858.181818
060378003291,1137.000000,332.000000,20.000000,6.300000,0.060241,180.476190
060378003292,3002.000000,1151.000000,464.000000,1.870000,0.403128,1605.347594
060378003272,1264.000000,419.000000,62.000000,0.800000,0.147971,1580.000000
060378003281,1331.000000,456.000000,113.000000,3.000000,0.247807,443.666667
060378003282,1315.000000,580.000000,386.000000,0.760000,0.665517,1730.263158
060378003273,1798.000000,625.000000,148.000000,0.950000,0.236800,1892.631579
060378003271,2612.000000,1034.000000,657.000000,0.470000,0.635397,5557.446809
060378003321,1217.000000,373.000000,45.000000,0.140000,0.120643,8692.857143
060378002021,968.000000,332.000000,39.000000,5.980000,0.117470,161.872910
060372625011,928.000000,347.000000,64.000000,0.100000,0.184438,9280.000000
060372626043,1371.000000,565.000000,96.000000,0.640000,0.169912,2142.187500
060377014021,983.000000,643.000000,482.000000,0.160000,0.749611,6143.750000
060377013043,2440.000000,1390.000000,926.000000,0.270000,0.666187,9037.037037
060372628022,806.000000,359.000000,101.000000,0.160000,0.281337,5037.500000
060372626042,1342.000000,533.000000,55.000000,0.900000,0.103189,1491.111111
060378005061,1346.000000,524.000000,97.000000,8.560000,0.185115,157.242991
060372626011,3838.000000,1395.000000,144.000000,1.420000,0.103226,2702.816901
060372627062,1117.000000,380.000000,37.000000,0.250000,0.097368,4468.000000
060372626041,669.000000,246.000000,33.000000,0.080000,0.134146,8362.500000
060377013042,1586.000000,815.000000,511.000000,0.150000,0.626994,10573.333333
060372624001,1235.000000,450.000000,33.000000,0.770000,0.073333,1603.896104
060378005062,525.000000,291.000000,140.000000,0.110000,0.481100,4772.727273
060372627063,723.000000,265.000000,54.000000,0.100000,0.203774,7230.000000
060372625013,2009.000000,776.000000,118.000000,0.480000,0.152062,4185.416667
060377013041,1765.000000,616.000000,76.000000,0.300000,0.123377,5883.333333
060372628021,1528.000000,617.000000,121.000000,0.430000,0.196110,3553.488372
060372625012,858.000000,313.000000,45.000000,0.100000,0.143770,8580.000000
060377014022,2412.000000,1540.000000,1443.000000,0.060000,0.937013,40200.000000
060372627061,1775.000000,698.000000,197.000000,0.550000,0.282235,3227.272727
060378005063,1318.000000,558.000000,102.000000,1.450000,0.182796,908.965517
060372628023,1496.000000,548.000000,44.000000,0.710000,0.080292,2107.042254
060372627041,3743.000000,1612.000000,533.000000,0.760000,0.330645,4925.000000
060372626044,2906.000000,1181.000000,256.000000,0.660000,0.216765,4403.030303
060378001012,3054.000000,1056.000000,85.000000,2.570000,0.080492,1188.326848
060378002022,5601.000000,1705.000000,151.000000,4.620000,0.088563,1212.337662
060378001021,2484.000000,979.000000,220.000000,4.950000,0.224719,501.818182
060378001023,2346.000000,932.000000,241.000000,11.460000,0.258584,204.712042
060378002042,2811.000000,1005.000000,96.000000,1.000000,0.095522,2811.000000
060371373011,2291.000000,776.000000,84.000000,0.620000,0.108247,3695.161290
060371371031,2201.000000,939.000000,233.000000,0.060000,0.248136,36683.333333
060371372013,1475.000000,522.000000,96.000000,0.290000,0.183908,5086.206897
060371374013,1981.000000,703.000000,100.000000,0.460000,0.142248,4306.521739
060378002043,2286.000000,785.000000,54.000000,0.660000,0.068790,3463.636364
060371351141,3477.000000,1606.000000,1268.000000,0.100000,0.789539,34770.000000
060371352035,1015.000000,336.000000,18.000000,0.350000,0.053571,2900.000000
060371375022,1588.000000,701.000000,232.000000,0.280000,0.330956,5671.428571
060371371032,2643.000000,1197.000000,617.000000,0.230000,0.515455,11491.304348
060371352022,1479.000000,461.000000,80.000000,0.220000,0.173536,6722.727273
060371351142,1707.000000,892.000000,812.000000,0.390000,0.910314,4376.923077
060371373021,1761.000000,632.000000,45.000000,0.360000,0.071203,4891.666667
060371375021,900.000000,444.000000,228.000000,0.200000,0.513514,4500.000000
060378001011,2733.000000,907.000000,60.000000,0.540000,0.066152,5061.111111
060371351023,1062.000000,317.000000,56.000000,0.220000,0.176656,4827.272727
060371351131,2595.000000,1288.000000,1102.000000,0.250000,0.855590,10380.000000
060371373022,2711.000000,928.000000,53.000000,0.570000,0.057112,4756.140351
060371380002,822.000000,336.000000,47.000000,0.300000,0.139881,2740.000000
060371372011,3059.000000,1306.000000,814.000000,0.340000,0.623277,8997.058824
060371374011,817.000000,362.000000,189.000000,0.140000,0.522099,5835.714286
060379304011,2503.000000,900.000000,186.000000,0.530000,0.206667,4722.641509
060371352032,922.000000,327.000000,79.000000,0.160000,0.241590,5762.500000
060378002041,2010.000000,732.000000,199.000000,2.060000,0.271858,975.728155
060378002031,2011.000000,631.000000,46.000000,2.410000,0.072900,834.439834
060371351112,1270.000000,431.000000,107.000000,0.170000,0.248260,7470.588235
060371351022,1158.000000,443.000000,58.000000,0.230000,0.130926,5034.782609
060371380003,1693.000000,676.000000,109.000000,0.290000,0.161243,5837.931034
060371352023,1917.000000,625.000000,102.000000,0.300000,0.163200,6390.000000
060371352033,1525.000000,495.000000,90.000000,0.200000,0.181818,7625.000000
060371374022,1361.000000,499.000000,43.000000,0.340000,0.086172,4002.941176
060371374012,1535.000000,559.000000,118.000000,0.320000,0.211091,4796.875000
060371374023,1842.000000,646.000000,284.000000,0.250000,0.439628,7368.000000
060371351113,954.000000,418.000000,262.000000,0.110000,0.626794,8672.727273
060371372012,980.000000,358.000000,222.000000,0.150000,0.620112,6533.333333
060371380001,1995.000000,797.000000,79.000000,1.120000,0.099122,1781.250000
060371374021,2333.000000,918.000000,231.000000,0.600000,0.251634,3888.333333
060371375023,1831.000000,708.000000,170.000000,0.320000,0.240113,5721.875000
060371352012,794.000000,248.000000,24.000000,0.240000,0.096774,3308.333333
060371392003,3376.000000,1438.000000,829.000000,0.210000,0.576495,16076.190476
060371393013,2166.000000,792.000000,209.000000,0.350000,0.263889,6188.571429
060371393011,1385.000000,468.000000,52.000000,0.440000,0.111111,3147.727273
060371327003,992.000000,295.000000,53.000000,0.120000,0.179661,8266.666667
060371394021,1253.000000,418.000000,41.000000,0.430000,0.098086,2913.953488
060371331002,1068.000000,331.000000,252.000000,0.120000,0.761329,8900.000000
060371349051,4631.000000,1445.000000,1307.000000,1.000000,0.904498,4631.000000
060371393032,1444.000000,627.000000,438.000000,0.050000,0.698565,28880.000000
060371390014,959.000000,354.000000,121.000000,0.120000,0.341808,7991.666667
060371396001,2694.000000,1180.000000,446.000000,0.510000,0.377966,5282.352941
060371375012,914.000000,382.000000,228.000000,0.220000,0.596859,4154.545455
060371393022,2634.000000,1162.000000,818.000000,0.070000,0.703959,37628.571429
060371329001,1189.000000,452.000000,77.000000,0.200000,0.170354,5945.000000
060371396002,2208.000000,941.000000,345.000000,0.450000,0.366631,4906.666667
060371349013,1004.000000,342.000000,78.000000,0.160000,0.228070,6275.000000
060371398011,3535.000000,1270.000000,77.000000,1.420000,0.060630,2489.436620
060371395031,2482.000000,1196.000000,576.000000,0.070000,0.481605,35457.142857
060371375041,2009.000000,701.000000,44.000000,1.460000,0.062767,1376.027397
060371330003,1343.000000,354.000000,69.000000,0.140000,0.194915,9592.857143
060371375011,3875.000000,1346.000000,760.000000,0.750000,0.564636,5166.666667
060371394022,970.000000,293.000000,47.000000,0.270000,0.160410,3592.592593
060371390012,1930.000000,767.000000,484.000000,0.150000,0.631030,12866.666667
060371371042,884.000000,334.000000,48.000000,0.240000,0.143713,3683.333333
060371394012,2084.000000,855.000000,743.000000,0.150000,0.869006,13893.333333
060371395042,1441.000000,663.000000,541.000000,0.040000,0.815988,36025.000000
060371395021,1770.000000,765.000000,310.000000,0.200000,0.405229,8850.000000
060371395032,2638.000000,1240.000000,955.000000,0.060000,0.770161,43966.666667
060371393012,938.000000,350.000000,83.000000,0.320000,0.237143,2931.250000
060371325021,2335.000000,797.000000,422.000000,0.130000,0.529486,17961.538462
060371320012,776.000000,276.000000,50.000000,0.090000,0.181159,8622.222222
060371349012,768.000000,271.000000,43.000000,0.100000,0.158672,7680.000000
060371394023,707.000000,230.000000,24.000000,0.250000,0.104348,2828.000000
060371390013,846.000000,324.000000,74.000000,0.100000,0.228395,8460.000000
060371392001,992.000000,388.000000,115.000000,0.140000,0.296392,7085.714286
060371395022,1215.000000,427.000000,107.000000,0.200000,0.250585,6075.000000
060371393021,1987.000000,783.000000,616.000000,0.070000,0.786718,28385.714286
060371320011,1059.000000,325.000000,53.000000,0.160000,0.163077,6618.750000
060371398021,3823.000000,1372.000000,57.000000,2.350000,0.041545,1626.808511
060371331001,2317.000000,917.000000,581.000000,0.210000,0.633588,11033.333333
060371329002,2328.000000,823.000000,402.000000,0.260000,0.488457,8953.846154
060371394011,787.000000,328.000000,132.000000,0.200000,0.402439,3935.000000
060371393031,2760.000000,1256.000000,816.000000,0.110000,0.649682,25090.909091
060371349011,1359.000000,515.000000,310.000000,0.140000,0.601942,9707.142857
060371327004,2619.000000,688.000000,522.000000,0.200000,0.758721,13095.000000
060371397031,3021.000000,990.000000,91.000000,1.840000,0.091919,1641.847826
060371392002,951.000000,401.000000,162.000000,0.100000,0.403990,9510.000000
060371390011,1280.000000,587.000000,353.000000,0.110000,0.601363,11636.363636
060371395041,2242.000000,1074.000000,651.000000,0.080000,0.606145,28025.000000
060371320022,616.000000,202.000000,64.000000,0.250000,0.316832,2464.000000
060371327002,783.000000,270.000000,52.000000,0.110000,0.192593,7118.181818
060371371041,1976.000000,712.000000,98.000000,0.740000,0.137640,2670.270270
060371331003,996.000000,316.000000,62.000000,0.150000,0.196203,6640.000000
060371349042,1235.000000,348.000000,85.000000,0.160000,0.244253,7718.750000
060371331004,1202.000000,372.000000,182.000000,0.110000,0.489247,10927.272727
060371325022,1435.000000,480.000000,123.000000,0.110000,0.256250,13045.454545
060371397024,2671.000000,967.000000,43.000000,2.450000,0.044467,1090.204082
060378001022,2513.000000,956.000000,295.000000,3.980000,0.308577,631.407035
060372624002,2006.000000,795.000000,59.000000,3.670000,0.074214,546.594005
